title,vendor,product_type,price,sku,created_at,shape,foam,game_level,frame,surface,color,racket_type,balance,gender,weight
Raquette de padel Bullpadel Vertex 02 Hybrid Carbon,Bullpadel,Raquettes,139.9,7924,2024-09-16 12:27:46+00:00,forme,mousse,,carbone,,noir,polyvalente,,,
Raquette de padel Bullpadel Vertex 02 Hybrid,Bullpadel,Raquettes,109.9,7925,2024-09-16 13:02:11+00:00,forme,mousse,,carbone,sablée,,polyvalente,,,
Raquette de padel Bullpadel Neuron Cloud 2025,Bullpadel,Raquettes,189.9,9603,2025-03-03 07:41:44+00:00,,mousse,,carbone,,,,,,
Raquette de padel Bullpadel Indiga Power 2025,Bullpadel,Raquettes,74.9,8774,2024-12-26 07:42:47+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Head Bolt Noir 2025,Head,Raquettes,89.9,9812,2025-03-17 08:53:14+00:00,forme,foam,,carbone,,noir,,,,
Raquette de padel Tecnifibre Wall Breaker 360 W,Tecnifibre,Raquettes,89.9,9167,2025-02-05 10:54:22+00:00,forme,foam,,carbone,,,,,,
Mini Raquette Head Speed Pro,Head,Accessoire,24.9,11430,2025-10-30 15:40:21+00:00,,,,,,,,,,
Mini Raquette Head Coello Pro,Head,Accessoire,24.9,11427,2025-10-30 14:58:19+00:00,,,,,,,,,,
Raquette de padel Head Extreme Pro LTD 2024 Arturo Coello,Head,Raquettes,149.9,7418,2024-05-30 07:10:53+00:00,forme,foam,,carbone,sablée,rouge,,,,poids
Raquette de padel Sane Assassin Tactic Alutex,Sane,Raquettes,129.9,11424,2025-10-30 13:20:42+00:00,forme,mousse,,,,,,,,
Raquette de padel Sane Assassin Tactic 3K,Sane,Raquettes,149.9,11423,2025-10-30 13:03:00+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Sane Assassin Tactic Fiber,Sane,Raquettes,99.9,11422,2025-10-30 10:54:40+00:00,forme,mousse,,,,bleu,,,,
Raquette de padel Sane Agressor Evolution Tactic,Sane,Raquettes,189.9,11421,2025-10-30 10:31:54+00:00,forme,mousse,,,,,polyvalente,,,
Raquette de padel Sane Cinetik 28 Stealth Javi Ruiz,Sane,Raquettes,229.9,11420,2025-10-30 09:52:45+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Sane Potential Intermediate Edition,Sane,Raquettes,149.9,11419,2025-10-30 09:16:35+00:00,,mousse,expert,carbone,,,,,,
